"id","estacion","idpm","direccion"
"203","Viveros","220","88.3113664651427"
"204","Viveros","1127","335.286911785427"
"205","Viveros","1119","291.064447728957"
"206","Viveros","224","9.65967169544024"
"207","Viveros","1120","277.71120263464"
"208","Viveros","1152","294.831754396712"
"209","Viveros","2740","191.214267086123"
"210","Viveros","1332","259.190238406461"
"211","Viveros","1121","277.689786747396"
"212","Viveros","1122","271.723071736817"
"213","Viveros","209","105.001209093742"
"214","Viveros","1125","288.331954934764"
"215","Viveros","1323","262.318564829695"
"216","Viveros","1404","173.796048055016"
"217","Viveros","1411","130.143387521889"
"218","Viveros","1123","278.857304111805"
"219","Viveros","1108","334.62824501827"
"220","Viveros","1124","289.645534570503"
"221","Viveros","1107","338.902435146908"
"222","Viveros","1142","291.836637787803"
"223","Viveros","212","93.2109921850826"
"224","Viveros","1405","167.236021624726"
"225","Viveros","1408","134.142538441609"
"226","Viveros","1432","128.151373730201"
"227","Viveros","1146","282.550566126371"
"228","Viveros","1158","300.659167283696"
"229","Viveros","1301","247.940927712371"
"230","Viveros","1144","284.597092309516"
"231","Viveros","218","79.2920290027033"
"232","Viveros","1302","255.872124205675"
"233","Viveros","1319","246.311704933366"
"234","Viveros","1145","266.273454692061"
"235","Viveros","2703","206.438391212928"
"236","Viveros","1313","261.007144421768"
"237","Viveros","1321","249.70293745475"
"238","Viveros","1331","226.498054772706"
"239","Viveros","1312","258.215319390489"
"240","Viveros","1147","284.977958963958"
"241","Viveros","1320","239.973273691603"
"242","Viveros","1128","286.998109404856"
"243","Viveros","1307","230.131868665263"
"244","Viveros","1111","338.694763943242"
"245","Viveros","1322","247.664075042027"
"246","Viveros","1148","283.519659587362"
"247","Viveros","1409","147.761197760054"
"248","Viveros","1435","125.813595816174"
"249","Viveros","1330","218.4639896119"
"250","Viveros","1156","311.678169987741"
"251","Viveros","1141","292.669206456585"
"252","Viveros","1316","229.506304954846"
"253","Viveros","1406","149.132910292275"
"254","Viveros","217","51.2310247433784"
"255","Viveros","1305","248.263066367237"
"256","Viveros","210","112.159782956831"
"257","Viveros","1326","253.835591029847"
"258","Viveros","1325","221.169751561"
"259","Viveros","1129","295.212131393762"
"260","Viveros","1106","336.033584602439"
"261","Viveros","1410","137.880342483994"
"262","Viveros","1318","224.608470088207"
"263","Viveros","1149","291.273417222829"
"264","Viveros","2741","208.611216816623"
"265","Viveros","213","84.6708429524043"
"266","Viveros","1317","220.803399233"
"267","Viveros","1324","229.704099148362"
"268","Viveros","2739","204.970239187283"
"269","Viveros","1423","179.240346714059"
"270","Viveros","1138","305.75621018162"
"271","Viveros","1526","128.503216211797"
"272","Viveros","205","91.2210498316505"
"273","Viveros","1104","337.979182479796"
"274","Viveros","1333","259.972078828235"
"275","Viveros","2720","217.542112212851"
"276","Viveros","207","108.931888621422"
"277","Viveros","1110","339.314661129212"
"278","Viveros","1150","306.740665047765"
"279","Viveros","1130","308.850675963305"
"280","Bulevar","4123","262.678688131667"
"281","Bulevar","4101","176.650294818241"
"282","Bulevar","1904","200.572832311021"
"283","Bulevar","4102","151.871624916385"
"284","Bulevar","4121","156.722609906083"
"285","Bulevar","1903","212.251769201957"
"286","Bulevar","2424","295.776329350902"
"287","Bulevar","2425","292.373386118958"
"288","Bulevar","2428","267.937743854142"
"289","Bulevar","2422","311.252217512863"
"290","Bulevar","2426","281.035597724272"
"291","Bulevar","2427","277.843979390952"
"292","Bulevar","4103","148.687518850644"
"293","Bulevar","2447","300.264168231994"
"294","Bulevar","2430","262.919888884123"
"295","Bulevar","2429","269.869575677918"
"296","Bulevar","4104","152.440583806471"
"297","Bulevar","2421","314.465210747794"
"298","Bulevar","2420","246.823336536944"
"299","Bulevar","2431","262.90637726513"
"300","Bulevar","2448","276.55999040902"
"301","Bulevar","2445","267.069727257686"
"302","Bulevar","2444","272.574339816139"
"303","Bulevar","2446","277.313230897583"
"304","Bulevar","1911","222.545542326476"
"305","Bulevar","1912","223.603548129085"
"306","Bulevar","2432","255.741108332713"
"307","Bulevar","2433","254.9610794922"
"308","Bulevar","2423","307.503084637645"
"309","Bulevar","2442","279.949031387132"
"310","Bulevar","4105","155.23476762683"
"311","Bulevar","2443","276.704061556569"
"312","Bulevar","2441","284.472930231206"
"313","Bulevar","2435","265.606131227088"
"314","Bulevar","2434","266.729334619665"
"315","Bulevar","4115","162.694729882714"
"316","Bulevar","2437","277.566767953783"
"317","Bulevar","2440","284.244817146449"
"318","Bulevar","2419","310.685183385455"
"319","UPV","2819","75.4348567445143"
"320","UPV","2818","29.5926007953039"
"321","UPV","2817","12.4424463193772"
"322","UPV","2810","171.946575223419"
"323","UPV","2820","140.046336665282"
"324","UPV","2809","178.678858024858"
"325","UPV","2808","151.354790539115"
"326","UPV","2811","192.073731545583"
"327","UPV","2801","136.079510849226"
"328","UPV","2807","131.130709957888"
"329","UPV","2812","187.087520606171"
"330","UPV","2044","3.05831719774642"
"331","UPV","2806","120.307095075119"
"332","UPV","2823","146.070501745715"
"333","UPV","2824","148.7167258428"
"334","UPV","2813","218.403882591854"
"335","UPV","2805","118.331942958376"
"336","UPV","2804","117.011802451911"
"337","UPV","2045","357.181670716088"
"338","UPV","2039","0.889636303515431"
"339","UPV","2928","158.157318240396"
"340","UPV","2803","112.496655880325"
"341","UPV","2815","211.367831112112"
"342","UPV","1803","54.023261980245"
"343","UPV","2041","9.28405155258417"
"344","UPV","2802","110.411702754046"
"345","UPV","1810","96.2856129756585"
